# RandomSeed is not predefined. Generated seed value:  2926154337371075706
# VNS started at: 2023-10-21 14:35:56.308861
# Execution parameters: {'algorithm': 'variable_neighborhood_search', 'optimization_type': 'maximization', 'writeToOutputFile': True, 'outputFilePath': 'opt/single_objective/teaching/ones_count_problem/outputs/dimension_77.csv', 'outputFileNameAppendTimeStamp': False, 'outputFields': 'iteration, evaluation, best_solution.fitness_value, best_solution.argument()', 'outputMoments': 'after_algorithm, after_evaluation', 'inputFilePath': 'opt/single_objective/teaching/ones_count_problem/inputs/dimension_77.txt', 'inputFormat': 'txt', 'finishCriteria': 'evaluations & seconds', 'finishEvaluationsMax': 300, 'finishIterationsMax': 0, 'finishSecondsMax': 0, 'randomSeed': 0, 'solutionEvaluationCacheIsUsed': False, 'solutionEvaluationCacheMaxSize': 0, 'solutionDistanceCalculationCacheIsUsed': False, 'solutionDistanceCalculationCacheMaxSize': 0, 'additionalStatisticsKeep': 'None', 'additionalStatisticsMaxLocalOptimaCount': 7, 'kMin': 1, 'kMax': 3, 'localSearchType': 'local_search_best_improvement', 'solutionType': 'BitArray'}
iteration	evaluation	step_name	best_solution_string_representation	best_solution_fitness_value	best_solution_objective_value	best_solution_is_feasible	best_solution_argument	
0	1	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	2	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	3	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	4	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	5	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	6	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	7	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	8	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	9	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	10	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	11	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	12	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	13	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	14	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	15	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	16	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	17	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	18	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	19	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	20	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	21	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	22	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	23	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	24	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	25	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	26	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	27	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	28	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
1	29	a_e	00100110001110000000011101101010111111010001000111001000010100110000101001000	32	32	True	XXX	
